Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63
Russia,2022,Phishing,Banking,85.01,923558,Insider,Weak Passwords,Encryption,41
Germany,2024,Malware,Banking,22.84,797768,Insider,Zero-day,Firewall,58
Brazil,2020,Malware,Banking,79.61,755029,Nation-state,Weak Passwords,Firewall,27
Brazil,2017,Malware,Banking,99.22,660182,Insider,Weak Passwords,AI-based Detection,21
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43
France,2024,Ransomware,Banking,78.82,759804,Unknown,Unpatched Software,AI-based Detection,47
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55
UK,2017,SQL Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67
India,2019,DDoS,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60
Japan,2015,SQL Injection,Banking,20.69,344789,Unknown,Zero-day,AI-based Detection,69
UK,2021,DDoS,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63
Germany,2015,Phishing,Banking,58.78,861637,Unknown,Social Engineering,VPN,15
Brazil,2024,DDoS,Banking,55.73,750979,Unknown,Social Engineering,AI-based Detection,30
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19
UK,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2
Russia,2018,Malware,Banking,17.99,593009,Unknown,Social Engineering,Firewall,27
Germany,2023,SQL Injection,Banking,30.68,933754,Insider,Social Engineering,Firewall,36
Russia,2020,Man-in-the-Middle,Banking,54.03,110260,Unknown,Weak Passwords,VPN,66
UK,2015,Ransomware,Banking,13.49,345825,Hacker Group,Zero-day,AI-based Detection,6
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44
Brazil,2022,Phishing,Banking,75.01,771434,Hacker Group,Social Engineering,AI-based Detection,38
Australia,2016,SQL Injection,Banking,1.73,91560,Hacker Group,Weak Passwords,AI-based Detection,35
Brazil,2024,SQL Injection,Banking,33.06,644841,Insider,Weak Passwords,Antivirus,64
Japan,2017,Man-in-the-Middle,Banking,79.68,712646,Nation-state,Unpatched Software,AI-based Detection,50
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3
China,2022,Man-in-the-Middle,Banking,12.36,987115,Unknown,Social Engineering,Encryption,55
Brazil,2022,Phishing,Banking,98.06,884502,Insider,Unpatched Software,AI-based Detection,55
UK,2021,Ransomware,Banking,79.33,555527,Unknown,Unpatched Software,Firewall,33
Russia,2019,SQL Injection,Banking,59.78,681856,Insider,Zero-day,VPN,52
USA,2018,Man-in-the-Middle,Banking,85.29,685291,Hacker Group,Social Engineering,Encryption,53
Germany,2023,Malware,Banking,70.19,791366,Unknown,Unpatched Software,Firewall,61
China,2019,Ransomware,Banking,32.69,713584,Insider,Weak Passwords,Firewall,26
USA,2019,Ransomware,Banking,22.62,51219,Unknown,Zero-day,Encryption,36
France,2024,Phishing,Banking,26.29,314347,Hacker Group,Unpatched Software,Antivirus,28
